                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 1.4561,                 1.5618,                 1.4851,                 0.4195,                0.34611,                0.31252,                 0.1607,                  1.945,                 2.0783,                 1.9924,              0.0010612,              0.0010612,              0.0010612
                     67,                 1.4329,                 1.5632,                   1.46,                0.41457,                0.35166,                 0.2979,                0.15627,                 1.9696,                 1.9927,                 1.9879,              0.0010555,              0.0010555,              0.0010555
                     68,                 1.4691,                 1.5427,                 1.4769,                0.44632,                0.32352,                 0.2911,                 0.1449,                 1.9949,                  2.051,                 1.9938,              0.0010499,              0.0010499,              0.0010499
                     69,                  1.397,                 1.4785,                 1.4393,                0.47561,                0.31798,                0.31151,                0.16153,                 1.9495,                 1.9914,                 1.9882,              0.0010442,              0.0010442,              0.0010442
                     70,                  1.424,                 1.5111,                 1.4666,                0.44856,                0.32788,                0.30979,                0.16161,                 1.9662,                 1.9906,                 2.0198,              0.0010385,              0.0010385,              0.0010385
                     71,                 1.3983,                 1.4772,                 1.4412,                0.48166,                0.29596,                0.29264,                0.15854,                 1.9531,                 2.0103,                 1.9612,              0.0010329,              0.0010329,              0.0010329
                     72,                  1.432,                 1.4944,                 1.4594,                0.47316,                0.32007,                0.31069,                 0.1626,                 1.9256,                 1.9784,                 1.9589,              0.0010272,              0.0010272,              0.0010272
                     73,                 1.3984,                 1.4658,                 1.4416,                0.46046,                0.33132,                0.31288,                0.16311,                 1.9404,                 1.9569,                  1.967,              0.0010216,              0.0010216,              0.0010216
                     74,                 1.3736,                 1.4271,                 1.4104,                0.43274,                0.31933,                0.30045,                0.15415,                  1.999,                 2.0775,                 2.0319,              0.0010159,              0.0010159,              0.0010159
                     75,                 1.3941,                 1.4622,                 1.4288,                0.46292,                0.33764,                0.31427,                0.15866,                 1.9896,                 1.9917,                 1.9676,              0.0010102,              0.0010102,              0.0010102
                     76,                 1.3807,                 1.4311,                 1.4266,                0.43208,                0.34592,                0.31451,                 0.1591,                 1.9202,                 1.9573,                 1.9581,              0.0010046,              0.0010046,              0.0010046
                     77,                 1.3846,                 1.4163,                 1.4121,                 0.4618,                0.32656,                0.30533,                0.15672,                 1.9776,                 2.0311,                 2.0294,             0.00099893,             0.00099893,             0.00099893
                     78,                 1.3816,                 1.3903,                 1.4227,                0.41881,                0.30755,                0.27629,                0.12908,                  2.088,                 2.1032,                  2.056,             0.00099327,             0.00099327,             0.00099327
